Heidelberg,3084,-Lou7XgIw-Bzg0rMz9la
Heidelberg Heights,3081,-Lou7XgIw-Bzg0rMz9lb
Heidelberg West,3081,-Lou7XgIw-Bzg0rMz9lc
Highett,3190,-Lou7XgIw-Bzg0rMz9ld
Hillside,3037,-Lou7XgIw-Bzg0rMz9le
HMAS Cerberus,3920,-Lou7XgIw-Bzg0rMz9lf
Hoddles Creek,3139,-Lou7XgIw-Bzg0rMz9lg
Hoppers Crossing,3029,-Lou7XgIw-Bzg0rMz9lh
Hughesdale,3166,-Lou7XgJBya6SEIA_x7c
Humevale,3757,-Lou7XgJBya6SEIA_x7d
Huntingdale,3166,-Lou7XgJBya6SEIA_x7e
Hurstbridge,3099,-Lou7XgJBya6SEIA_x7f
Iona,3815,-Lou7XgJBya6SEIA_x7g
Ivanhoe,3079,-Lou7XgJBya6SEIA_x7h
Ivanhoe East,3079,-Lou7XgJBya6SEIA_x7i
Jacana,3047,-Lou7XgJBya6SEIA_x7j
Junction Village,3977,-Lou7XgJBya6SEIA_x7k
Kalkallo,3064,-Lou7XgJBya6SEIA_x7l
Kallista,3791,-Lou7XgJBya6SEIA_x7m
Kalorama,3766,-Lou7XgJBya6SEIA_x7n
Kangaroo Ground,3097,-Lou7XgJBya6SEIA_x7o
Kealba,3021,-Lou7XgJBya6SEIA_x7p
Keilor,3036,-Lou7XgJBya6SEIA_x7q
Keilor Downs,3038,-Lou7XgJBya6SEIA_x7r
Keilor East,3033,-Lou7XgKYIhcyQd8VcEu
Keilor Lodge,3038,-Lou7XgKYIhcyQd8VcEv
Keilor North,3036,-Lou7XgKYIhcyQd8VcEw
Keilor Park,3042,-Lou7XgKYIhcyQd8VcEx
Kensington,3031,-Lou7XgKYIhcyQd8VcEy
Kew,3101,-Lou7XgKYIhcyQd8VcEz
Kew East,3102,-Lou7XgKYIhcyQd8VcF-
Keysborough,3173,-Lou7XgKYIhcyQd8VcF0
Kilsyth,3137,-Lou7XgKYIhcyQd8VcF1
Kilsyth,3137,-Lou7XgKYIhcyQd8VcF2
Kilsyth South,3137,-Lou7XgKYIhcyQd8VcF3
Kinglake,3763,-Lou7XgKYIhcyQd8VcF4
Kinglake West,3778,-Lou7XgKYIhcyQd8VcF5
Kings Park,3021,-Lou7XgKYIhcyQd8VcF6
Kingsbury,3083,-Lou7XgKYIhcyQd8VcF7
Kingsville,3012,-Lou7XgKYIhcyQd8VcF8
Knoxfield,3180,-Lou7XgKYIhcyQd8VcF9
Koo Wee Rup,3981,-Lou7XgL-DN8bgXfa9N3
Koo Wee Rup North,3891,-Lou7XgL-DN8bgXfa9N4
Kooyong,3144,-Lou7XgL-DN8bgXfa9N5
Kurunjang,3337,-Lou7XgL-DN8bgXfa9N6
Lalor,3075,-Lou7XgL-DN8bgXfa9N7
Lang Lang,3984,-Lou7XgL-DN8bgXfa9N8
Lang Lang East,3894,-Lou7XgL-DN8bgXfa9N9
Langwarrin,3910,-Lou7XgL-DN8bgXfa9NA
Langwarrin South,3911,-Lou7XgL-DN8bgXfa9NB
Launching Place,3139,-Lou7XgL-DN8bgXfa9NC
Laverton,3028,-Lou7XgL-DN8bgXfa9ND
Laverton North,3026,-Lou7XgL-DN8bgXfa9NE
Lilydale,3140,-Lou7XgL-DN8bgXfa9NF
Little River,3211,-Lou7XgL-DN8bgXfa9NG
Longwarry,3816,-Lou7XgL-DN8bgXfa9NH
Lower Plenty,3093,-Lou7XgL-DN8bgXfa9NI
Lynbrook,3975,-Lou7XgL-DN8bgXfa9NJ
Lyndhurst,3975,-Lou7XgL-DN8bgXfa9NK
Lysterfield,3156,-Lou7XgM27rMMkuj55j8
Lysterfield South,3156,-Lou7XgM27rMMkuj55j9
Macclesfield,3782,-Lou7XgM27rMMkuj55jA
Macleod,3085,-Lou7XgM27rMMkuj55jB
Maidstone,3012,-Lou7XgM27rMMkuj55jC
Main Ridge,3928,-Lou7XgM27rMMkuj55jD
Malvern,3144,-Lou7XgM27rMMkuj55jE
Malvern East,3145,-Lou7XgM27rMMkuj55jF
Mambourin,3024,-Lou7XgM27rMMkuj55jG
Manor Lakes,3024,-Lou7XgM27rMMkuj55jH
Maribyrnong,3032,-Lou7XgM27rMMkuj55jI
Maryknoll,3812,-Lou7XgM27rMMkuj55jJ
Matlock,3723,-Lou7XgM27rMMkuj55jK
McCrae,3938,-Lou7XgM27rMMkuj55jL
McKinnon,3204,-Lou7XgM27rMMkuj55jM
